year,url,ipv6_prefix_count,ipv6_origin_as_count,ipv6_total_paths,ipv6_he_paths,ipv6_he_fraction,ipv4_prefix_count,ipv4_origin_as_count,ipv6_share_prefixes
2009,https://archive.routeviews.org/route-views6/bgpdata/2009.01/RIBS/rib.20090102.0000.bz2,1562,1184,18226,5972,0.3276637770218369,0,0,100.0
2010,https://archive.routeviews.org/route-views6/bgpdata/2010.01/RIBS/rib.20100102.0000.bz2,2502,1810,31291,12849,0.4106292544182033,0,0,100.0
2011,https://archive.routeviews.org/route-views6/bgpdata/2011.01/RIBS/rib.20110102.0000.bz2,4020,2890,55887,24867,0.4449514198292984,0,0,100.0
2012,https://archive.routeviews.org/route-views6/bgpdata/2012.01/RIBS/rib.20120102.0000.bz2,7471,4897,115376,46600,0.4038968242962141,0,0,100.0
2013,https://archive.routeviews.org/route-views6/bgpdata/2013.01/RIBS/rib.20130102.0000.bz2,11635,6510,198489,81436,0.41027966285285333,0,0,100.0
2014,https://archive.routeviews.org/route-views6/bgpdata/2014.01/RIBS/rib.20140102.0000.bz2,16220,7804,273567,101227,0.37002635551802665,0,0,100.0
2015,https://archive.routeviews.org/route-views6/bgpdata/2015.01/RIBS/rib.20150102.0000.bz2,21547,9129,478873,171824,0.35880912058103087,0,0,100.0
2016,https://archive.routeviews.org/route-views6/bgpdata/2016.01/RIBS/rib.20160102.0000.bz2,27309,10723,726894,295594,0.4066535148178414,0,0,100.0
2017,https://archive.routeviews.org/route-views6/bgpdata/2017.01/RIBS/rib.20170102.0000.bz2,36282,12651,1103085,502205,0.4552731657125244,0,0,100.0
2018,https://archive.routeviews.org/route-views6/bgpdata/2018.01/RIBS/rib.20180102.0000.bz2,48096,14515,1584667,799491,0.5045167218096925,0,0,100.0
2019,https://archive.routeviews.org/route-views6/bgpdata/2019.01/RIBS/rib.20190102.0000.bz2,63776,16358,1499546,641215,0.42760608877620293,0,0,100.0
2020,https://archive.routeviews.org/route-views6/bgpdata/2020.01/RIBS/rib.20200102.0000.bz2,78140,18478,1935141,830649,0.429244690696957,0,0,100.0
2021,https://archive.routeviews.org/route-views6/bgpdata/2021.01/RIBS/rib.20210102.0000.bz2,102321,21243,3035809,1005421,0.3311871728425603,0,0,100.0
2022,https://archive.routeviews.org/route-views6/bgpdata/2022.01/RIBS/rib.20220102.0000.bz2,141522,27922,4004767,1728222,0.4315412107620743,0,0,100.0
2023,https://archive.routeviews.org/route-views6/bgpdata/2023.01/RIBS/rib.20230102.0000.bz2,170791,30284,4086050,1649640,0.4037248687607836,0,0,100.0
2024,https://archive.routeviews.org/route-views6/bgpdata/2024.01/RIBS/rib.20240102.0000.bz2,192814,32375,4509612,1743129,0.3865363583385888,0,0,100.0
2025,https://archive.routeviews.org/route-views6/bgpdata/2025.01/RIBS/rib.20250102.0000.bz2,217290,34314,5244514,1924422,0.36694000626178136,0,0,100.0
